"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Germany",NA,8.907829,49.988293
"2","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-2.686542,53.347815
"3","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.136116,52.64364
"4","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",1.238856,52.624639
"5","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.279816,52.712923
"6","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-2.127423,52.559736
"7","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","Wales",-2.961508,51.544822
"8","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-2.63352,51.502667
"9","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-2.95437,54.858793
"10","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-0.577825,51.438452
"11","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.349305,52.618931
"12","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-0.83516,52.567344
"13","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.222778,52.673906
"14","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-0.844503,52.660934
"15","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-0.900916,52.533809
"16","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.091601,52.509354
"17","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Gelderland",5.9,52.05
"18","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.332715,52.544222
"19","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Sweden","Västergötland",12.04783,57.64599
"20","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Drenthe",6.5,52.9
"21","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","Scotland",-4.554027,55.973884
"22","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","England",-1.404307,52.593149
"23","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Drenthe",6.5,53.05
"24","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Gelderland",6.25,52.15
"25","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Noord-Holland",4.95,52.6
"26","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Gelderland",6.05,52.4
"27","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","United Kingdom","Wales",-3.225486,51.697746
"28","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion subfuscus","Netherlands","Gelderland",5.65,52.3
