"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.31268,51.25022
"2","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.53411,50.42859
"3","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.31118,51.30504
"4","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.53796,50.39449
"5","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","East Flanders",3.74053,51.05478
"6","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Hainaut",3.99243,50.41523
"7","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.36804,51.20081
"8","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.68672,50.79413
"9","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","East Flanders",3.74059,51.05468
"10","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.13255,50.10929
"11","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Luxembourg",5.32681,49.61911
"12","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.444,50.593
"13","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Limburg",5.35262,50.88463
"14","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.0967,50.49713
"15","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Flemish Brabant",4.09868,50.72088
"16","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Limburg",5.28128,50.85908
"17","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Sweden","Gotland",18.33268,57.67085
"18","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Luxembourg",5.3224,49.68594
"19","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.17119,50.55259
"20","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Sweden","Gotland",18.33222,57.671
"21","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Hainaut",4.03125,50.41792
"22","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Hainaut",4.03113,50.41752
"23","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Hainaut",4.0294,50.41801
"24","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","West Flanders",2.55528,51.0825
"25","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Switzerland","Be",7.47149,46.97357
"26","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.69169,50.78814
"27","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Switzerland","Zh",8.60011,47.50742
"28","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Luxembourg",5.44198,50.28539
"29","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.70122,50.7444
"30","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.83094,50.57919
"31","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.30729,51.25911
"32","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.39985,51.26304
"33","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.31208,51.2595
"34","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.30759,51.25955
"35","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.40264,51.26158
"36","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.38729,51.24344
"37","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.31239,51.25865
"38","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.38991,51.26449
"39","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.39295,51.26425
"40","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.68856,50.79541
"41","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.23705,50.52827
"42","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.69298,50.78823
"43","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.38715,51.27934
"44","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.38689,51.27942
"45","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.25242,51.36606
"46","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","West Flanders",3.25391,51.34236
"47","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.02105,50.48666
"48","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.44228,50.59125
"49","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.44219,50.59117
"50","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Switzerland","Zh",8.66855,47.59667
"51","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.04716,50.49788
"52","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.26347,50.15571
"53","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.09399,50.49435
"54","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.14845,50.51049
"55","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.44214,50.59116
"56","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Sweden","Gotland",18.33294,57.67203
"57","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Antwerp",4.38694,51.27905
"58","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.68952,50.79918
"59","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Switzerland","Zh",8.6644,47.41681
"60","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Walloon Brabant",4.77897,50.75349
"61","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","East Flanders",3.77535,51.15746
"62","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",4.82958,50.45693
"63","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.32323,50.53939
"64","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.14414,50.50873
"65","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Namur",5.124,50.50169
"66","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.31872,50.53696
"67","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cernuella","Cernuella neglecta","Belgium","Li�ge",5.21297,50.52873
