"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.72962,51.1546
"2","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Portugal","Coimbra",-8.787778,40.489444
"3","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Spain","Andaluc�a",-5.961738,37.41722
"4","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Provence-Alpes-C�te d'Azur",4.464507,43.463055
"5","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Spain","Islas Baleares",2.936388,39.622233
"6","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Spain","Catalu�a",2.968877,42.106248
"7","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Basse-Normandie",-1.840472,49.609142
"8","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.97928,51.25557
"9","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.6375,51.11333
"10","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.65749,51.11588
"11","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Auvergne",3.878064,45.503032
"12","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Portugal","Faro",-7.89785,37.015834
"13","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Poitou-Charentes",-0.47799,46.255639
"14","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Greece","Aegean",28.21222,36.418918
"15","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.93556,51.23978
"16","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.93528,51.23915
"17","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.74246,51.13736
"18","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.14322,51.32026
"19","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.55781,51.09373
"20","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Basse-Normandie",-0.480762,49.339219
"21","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.5554,51.09271
"22","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.14458,51.32038
"23","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.24843,51.34174
"24","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Isle of Man","Ayre",-4.470153,54.395464
"25","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.15044,51.32191
"26","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.69035,51.12228
"27","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.6885,51.12774
"28","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.33296,51.3606
"29","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","Antwerp",4.46255,51.39696
"30","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","Vlaanderen",2.938889,51.22139
"31","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Portugal","Set�bal",-9.126326,38.655822
"32","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.16746,51.32675
"33","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.66091,51.13007
"34","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.57214,51.09745
"35","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",3.34175,51.36106
"36","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Belgium","West Flanders",2.54838,51.08597
"37","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","France","Languedoc-Roussillon",3.660294,43.460298
"38","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Spain","Catalu�a",2.969741,42.106022
"39","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella acuta","Spain","Andaluc�a",-6.096125,37.251375
