"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Belgium","Antwerp",4.44425,51.28843
"2","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Emilia-Romagna",12.275433,44.805742
"3","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Spain","Catalu�a",2.968118,42.106176
"4","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Ukraine","Crimea",34.142375,44.945153
"5","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Malta",NA,14.267482,36.050845
"6","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Ukraine","Crimea",32.769138,45.5364
"7","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Sicily",15.111707,37.528341
"8","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Sicily",15.079434,37.506782
"9","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Greece","Macedonia and Thrace",22.861316,40.627125
"10","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Greece","Aegean",25.439278,37.009925
"11","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Greece","Aegean",25.452373,37.136439
"12","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Toscana",11.563953,43.530863
"13","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Spain","Comunidad Valenciana",0.097036,38.72735
"14","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Greece","Aegean",28.180943,36.292377
"15","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Campania",14.338747,41.237267
"16","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Toscana",10.879501,42.768521
"17","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Greece","Aegean",28.097294,36.175611
"18","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Sardegna",9.047863,39.26238
"19","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Veneto",12.252225,45.475628
"20","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Russia","Krasnodar",37.312886,44.888727
"21","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Algeria","Constantine",6.61258,36.334042
"22","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Spain","Comunidad de Madrid",-3.606353,40.413121
"23","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","France","Languedoc-Roussillon",3.885359,43.832368
"24","Mollusca","Gastropoda","Stylommatophora","Helicidae","Eobania","Eobania vermiculata","Italy","Campania",14.24472,40.843072
