"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Brussels Capital Region",4.42936,50.81091
"2","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Flemish Brabant",4.72421,50.8722
"3","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Antwerp",4.44405,51.28856
"4","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","France",NA,-1.410083,46.046219
"5","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Luxembourg","Diekirch",5.978333,49.957222
"6","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","United Kingdom","England",-4.157985,50.398468
"7","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Netherlands","Gelderland",5.659892,51.977169
"8","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Germany",NA,7.04567,51.41291
"9","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Walloon Brabant",4.53372,50.59609
"10","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Li�ge",5.82381,50.51253
"11","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Li�ge",5.83349,50.48827
"12","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Walloon Brabant",4.71118,50.70274
"13","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Namur",4.66807,50.08652
"14","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Hainaut",3.32392,50.64034
"15","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Netherlands","Utrecht",5.078855,52.034053
"16","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Flemish Brabant",4.67705,50.88375
"17","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Antwerp",4.56223,51.22132
"18","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Flemish Brabant",4.70697,50.8591
"19","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Flemish Brabant",4.22486,50.82984
"20","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","France","Bretagne",-2.693885,48.480244
"21","Mollusca","Gastropoda","Stylommatophora","Hygromiidae","Hygromia","Hygromia cinctella","Belgium","Antwerp",4.45519,51.15655
