"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Taiwan","Taiwan",120.629877,23.552022
"2","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Vietnam","Ti<U+1EC1>n Giang",106.344067,10.336016
"3","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Zambia","Southern",25.86791,-17.824011
"4","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",152.990752,-27.422357
"5","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","China","Hainan",109.258966,19.71043
"6","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Hong Kong","Sai Kung",114.264647,22.373598
"7","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","China","Hainan",110.861272,19.525454
"8","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",153.089034,-27.566193
"9","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Singapore","North-East",103.889173,1.361109
"10","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",149.2,-21.1
"11","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Singapore","North-East",103.890684,1.362241
"12","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Singapore","North-East",103.889511,1.362092
"13","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Indonesia","Jawa Tengah",109.049778,-7.52209
"14","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",153.108894,-27.6399
"15","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",150.65796,-23.028132
"16","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","India","Tamil Nadu",77.448032,8.655774
"17","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","South Africa","Mpumalanga",31.112503,-25.550555
"18","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Australia","Queensland",153.101,-26.432
"19","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Laevicaulis","Laevicaulis alte","Indonesia","Jawa Tengah",110.38214,-7.185125
