"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Princes Town",-61.273968,10.176607
"2","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Paran�",-48.775414,-25.412671
"3","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","S�o Paulo",-47.397213,-23.611905
"4","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Tunapuna/Piarco",-61.255693,10.739741
"5","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",121.186812,24.695943
"6","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Pichincha",-78.757748,-0.072242
"7","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Rio de Janeiro",-43.032987,-22.907242
"8","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Pichincha",-78.776691,-0.059347
"9","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Tunapuna/Piarco",-61.286505,10.698735
"10","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Panama","Chiriqu�",-82.828157,8.616025
"11","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",121.248793,24.778811
"12","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Santa Catarina",-52.024948,-27.24408
"13","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Venezuela","M�rida",-71.140824,8.597175
"14","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Santa Catarina",-49.053173,-26.846187
"15","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Rio de Janeiro",-42.49943,-22.310463
"16","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",121.804463,24.614142
"17","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Santa Catarina",-48.945236,-26.800399
"18","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Santa Catarina",-49.09615,-27.017234
"19","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-85.01374,10.720918
"20","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Lim�n",-83.789787,10.213774
"21","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",121.492656,24.581512
"22","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Napo",-77.811553,-0.994237
"23","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Napo",-77.815514,-0.994402
"24","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Napo",-77.816063,-0.995797
"25","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Napo",-77.815355,-0.993737
"26","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Ecuador","Napo",-77.815665,-0.993415
"27","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","S�o Paulo",-46.704986,-23.637864
"28","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","China","Fujian",118.097929,24.449322
"29","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",120.88716,23.884668
"30","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-84.798775,10.281722
"31","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil","Rio de Janeiro",-43.295193,-22.953733
"32","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Argentina",NA,-54.59,-26.4
"33","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil",NA,-43.3298,-22.961
"34","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil",NA,-43.2339,-22.5427
"35","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil",NA,-43.54,-23.0508
"36","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Brazil",NA,-43.0556,-22.8867
"37","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Couva-Tabaquite-Talparo",-61.2616,10.5163
"38","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Princes Town",-61.2945,10.2348
"39","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","San Juan-Laventille",-61.461,10.6895
"40","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Diego Martin",-61.6098,10.7421
"41","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Diego Martin",-61.5921,10.7168
"42","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago",NA,-61.402547,10.707662
"43","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago",NA,-60.54432,11.32508
"44","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago","Tobago",-60.532783,11.304161
"45","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Trinidad and Tobago",NA,-61.298095,10.717579
"46","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.35066,-17.63694
"47","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.84445,-17.56639
"48","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.843,-17.5473
"49","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.848,-17.5143
"50","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.80745,-17.54313
"51","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.84178,-17.5241
"52","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.82663,-17.54021
"53","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.81886,-17.5533
"54","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Taiwan","Taiwan",121.730664,24.827647
"55","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.56222,-17.56168
"56","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","French Polynesia",NA,-149.8389,-17.5444
"57","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",153.43117,-11.44618
"58","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",153.41262,-11.49165
"59","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.19314,-10.28833
"60","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",154.22226,-11.33535
"61","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",149.743233,-9.9802
"62","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",149.621733,-9.9836
"63","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.309883,-10.416783
"64","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.305317,-10.41105
"65","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-85.29105,10.903553
"66","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.5768,-10.327417
"67","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.233683,-10.496967
"68","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Papua New Guinea","Milne Bay Province",150.304317,-10.4159
"69","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens",NA,"Commonwealth of the Northern Mariana Islands",145.20021,14.11933
"70","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.003603,9.033878
"71","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-82.925096,8.95099
"72","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","San Jos�",-83.590648,9.372647
"73","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Heredia",-84.094389,9.972717
"74","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Lim�n",-82.923837,9.769413
"75","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-84.609492,9.774684
"76","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-84.583999,9.80544
"77","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.034442,8.748335
"78","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.253996,8.79914
"79","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.035554,8.68667
"80","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.044131,8.740071
"81","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.034582,8.743672
"82","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-84.265841,9.996311
"83","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.042317,8.73826
"84","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.43771,8.638348
"85","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-84.553306,10.232228
"86","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Cartago",-83.692496,9.829311
"87","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Lim�n",-83.752449,10.188826
"88","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Puntarenas",-83.256757,8.76886
"89","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","San Jos�",-84.122226,9.945616
"90","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","San Jose Province",-84.120833,9.945833
"91","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Lim�n Province",-83.666667,10.166667
"92","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Cartago",-83.684144,9.900721
"93","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Lim�n",-83.666076,10.249688
"94","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Cartago Province",-83.680556,9.913889
"95","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-84.53732,10.211895
"96","Mollusca","Gastropoda","Stylommatophora","Helicarionidae","Ovachlamys","Ovachlamys fulgens","Costa Rica","Alajuela",-84.504092,10.368786
