"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.996121,23.895863
"2","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.990295,23.885744
"3","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",121.692122,24.717847
"4","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.990796,23.881489
"5","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","French Guiana","Cayenne",-52.345171,4.865366
"6","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",106.808219,-6.629492
"7","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",108.071667,-7.266667
"8","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",108.495331,-6.88125
"9","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Malaysia","Sarawak",112.934727,2.009806
"10","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","Central",103.775537,1.377985
"11","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",106.7427,-6.566111
"12","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Tengah",110.384154,-7.185498
"13","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.781523,1.370048
"14","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.818458,1.335892
"15","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","West",103.751706,1.37189
"16","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","New Taipei",121.774405,24.865447
"17","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.607388,23.6147
"18","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","Central",103.821444,1.266926
"19","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","West",103.777251,1.361742
"20","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Malaysia","Kuala Lumpur",101.649338,3.12064
"21","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.727715,1.446192
"22","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","Central",103.781435,1.328753
"23","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Malaysia","Selangor",101.753538,3.051672
"24","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Tengah",109.338798,-7.219067
"25","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","China","Yunnan",101.26667,21.92642
"26","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","West",103.778167,1.353487
"27","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",106.530094,-6.739128
"28","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North-East",103.8208,1.386038
"29","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.625996,23.725006
"30","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","Central",103.824623,1.335401
"31","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Jawa Barat",107.770836,-6.931381
"32","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.778381,1.410212
"33","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","West",103.776527,1.376883
"34","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.607295,23.593357
"35","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.779198,1.372319
"36","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Laos","Attapu",106.903381,14.553106
"37","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.612039,23.597617
"38","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.634178,23.603401
"39","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.787264,23.821032
"40","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.872636,23.556252
"41","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.614608,22.649855
"42","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","China","Yunnan",101.254868,21.929565
"43","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Philippines","Davao del Sur",125.465342,7.099276
"44","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.610496,23.616275
"45","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.615282,23.596042
"46","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Indonesia","Bali",115.510211,-8.459298
"47","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",121.804485,24.614222
"48","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.941738,23.939644
"49","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","French Guiana","Cayenne",-52.511447,4.832738
"50","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.675705,23.549942
"51","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","China","Yunnan",101.26429,21.916389
"52","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","North",103.780593,1.37403
"53","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Singapore","Central",103.816108,1.315443
"54","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Hong Kong","Yuen Long",114.094083,22.420696
"55","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.614068,23.603293
"56","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.583816,23.597273
"57","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Kaohsiung",120.721368,23.056421
"58","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",120.704506,23.661946
"59","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Taiwan","Taiwan",121.803638,24.615153
"60","Mollusca","Gastropoda","Stylommatophora","Ariophantidae","Parmarion","Parmarion martensi","Thailand","Phangnga",98.239238,8.610004
