"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",145.13,-38.16
"2","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","South Australia",138.60844,-34.91759
"3","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",145.898163,-38.079358
"4","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",145.356863,-37.827489
"5","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",144.17631,-38.404939
"6","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Tasmania",147.9303,-42.5393
"7","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.812987,-32.265636
"8","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",116.127037,-34.303657
"9","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",116.434419,-31.491682
"10","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",116.100417,-31.903532
"11","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","New South Wales",151.45211,-33.095023
"12","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",143.88,-35.7363
"13","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Victoria",143.824,-35.705
"14","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.371617,-31.106417
"15","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Tasmania",143.889,-39.992
"16","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.784,-32.0202
"17","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.7639,-32.1369
"18","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Tasmania",147.392,-40.997
"19","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.666,-32.9042
"20","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Cochlicella","Cochlicella barbara","Australia","Western Australia",115.6711,-32.9291
