"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.999297,-27.463636
"2","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Tonga","Tongatapu",-175.158492,-21.232405
"3","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.800873,-27.230837
"4","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.030365,-27.530833
"5","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.036099,-27.503678
"6","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Jakarta Raya",106.809745,-6.249172
"7","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Sri Lanka",NA,80.6,7.3
"8","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","New South Wales",153.171669,-29.453876
"9","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","New South Wales",153.351635,-29.400361
"10","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Singapore","North-East",103.889881,1.36198
"11","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Jawa Barat",108.237002,-7.352454
"12","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.054624,24.498316
"13","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.054524,24.498331
"14","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.054447,24.49827
"15","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.054448,24.498179
"16","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Philippines","Camarines Norte",122.94291,14.092508
"17","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Philippines","Metropolitan Manila",121.04856,14.498007
"18","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.146399,24.482328
"19","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.054825,24.498463
"20","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Taiwan","Taiwan",121.157311,24.704383
"21","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","China","Fujian",118.055322,24.498727
"22","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","New South Wales",153.351939,-29.4094
"23","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Honduras","Francisco Moraz�n",-87.013209,14.008557
"24","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Taiwan","Taiwan",121.639228,24.753558
"25","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.279952,-28.041444
"26","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.794147,-27.618309
"27","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.100916,-27.462169
"28","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.027297,-27.536817
"29","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.83941,-26.754962
"30","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Yogyakarta",110.301094,-7.722105
"31","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Yogyakarta",110.317132,-7.73594
"32","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.980098,-27.362255
"33","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.277456,-27.838545
"34","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","New South Wales",153.538411,-28.819365
"35","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Yogyakarta",110.317662,-7.735578
"36","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",153.025925,-27.550037
"37","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Yogyakarta",110.317215,-7.736048
"38","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Taiwan","Kaohsiung",120.341413,22.581389
"39","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Malaysia","Perak",101.098986,4.648315
"40","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Honduras","Francisco Moraz�n",-87.021638,14.003562
"41","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Jawa Barat",108.151992,-7.350402
"42","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Bangka-Belitung",106.095245,-2.055772
"43","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Jawa Barat",108.19814,-7.290228
"44","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Indonesia","Yogyakarta",110.376393,-7.764572
"45","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","Queensland",152.847538,-26.624893
"46","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Sarasinula","Sarasinula plebeia","Australia","New South Wales",153.198612,-30.149669
