"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Thessaly and Central Greece",22.424264,38.902813
"2","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Thessaly and Central Greece",22.434415,38.904626
"3","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Italy","Apulia",18.031725,40.285656
"4","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","Scotland",-3.779283,56.128106
"5","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","England",1.180867,52.636356
"6","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Epirus and Western Macedonia",20.843792,39.619126
"7","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Attica",23.74443,37.885349
"8","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Thessaly and Central Greece",22.438421,38.905231
"9","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Thessaly and Central Greece",22.435913,38.904483
"10","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Attica",23.744593,37.886437
"11","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Greece","Attica",23.769099,37.992392
"12","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","England",-2.442535,52.161166
"13","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","Netherlands","Zuid-Holland",4.5,52.15
"14","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","England",0.750643,52.418814
"15","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","Scotland",-7.40095,57.188099
"16","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","Scotland",-2.73287,56.050733
"17","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","England",-2.519148,51.48077
"18","Mollusca","Gastropoda","Stylommatophora","Milacidae","Tandonia","Tandonia sowerbyi","United Kingdom","Scotland",-3.227348,55.986647
