"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.70417,51.13889
"2","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.33074,51.36192
"3","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.54695,51.08777
"4","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","France","Languedoc-Roussillon",4.252715,43.718287
"5","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","France","Languedoc-Roussillon",4.245363,43.620211
"6","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Malta",NA,14.267482,36.050845
"7","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Spain","Andaluc�a",-6.06276,36.915092
"8","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Lisboa",-9.160657,38.741721
"9","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Beja",-8.802047,37.651776
"10","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Set�bal",-9.152463,38.672094
"11","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Set�bal",-9.201579,38.638789
"12","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Morocco","Oriental",-2.287664,35.099883
"13","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Israel","Haifa",35.061357,32.830531
"14","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Spain","Comunidad Valenciana",0.068905,38.643457
"15","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.01842,51.26725
"16","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","Antwerp",4.31149,51.30521
"17","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","Antwerp",4.31198,51.30502
"18","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.9403,51.22686
"19","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","East Flanders",4.20559,51.25507
"20","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.65456,51.12947
"21","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.27096,51.34437
"22","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.64794,51.11244
"23","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.92637,51.23739
"24","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Set�bal",-8.96305,38.74637
"25","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.55541,51.08297
"26","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.92806,51.23769
"27","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.23474,51.34113
"28","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.93334,51.2395
"29","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Greece","Peloponnese, Western Greece and the Ionian Islands",20.677734,38.834296
"30","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Lisboa",-9.238056,38.7425
"31","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","France","Languedoc-Roussillon",3.135495,43.309532
"32","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Portugal","Set�bal",-8.938905,38.758853
"33","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","France","Languedoc-Roussillon",3.044068,42.575772
"34","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.2267,51.34298
"35","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.80028,51.18
"36","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.14322,51.32026
"37","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",3.22455,51.339
"38","Mollusca","Gastropoda","Stylommatophora","Helicidae","Theba","Theba pisana","Belgium","West Flanders",2.55935,51.09414
