field_1,acceptedNa,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,associat_2,associat_3,basisOfRec,behavior,bibliograp,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,depth,dispositio,dynamicPro,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventRemar,eventTime,family,familyKey,fieldNumbe,footprintS,footprintW,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,georefer_5,habitat,higherClas,higherGeog,higherGe_1,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,http_//u_6,http_//u_7,identifica,identifi_1,identifi_2,identifi_3,identified,identifier,inCluster,individual,informatio,installati,institutio,institut_1,institut_2,isInCluste,island,islandGrou,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationAc,locationID,locationRe,lon,modified,month,municipali,nameAccord,nomenclatu,nomencla_1,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismQu,organism_1,organismRe,originalNa,otherCatal,ownerInsti,parentEven,parentName,phylum,phylumKey,preparatio,previousId,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rights,rightsHold,sampleSize,samplingEf,samplingPr,scientific,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,verbatimCo,verbatimEl,verbatimEv,verbatimId,verbatimLo,verbatimSR,verbatimTa,vernacular,waterBody,year,downloadDa
"6",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Oregon,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"106246397",Gastropoda,"225","Oregon, United States",Observations,NA,NA,NA,NA,NA,United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-04-07T09:34:58,"5",NA,NA,NA,NA,NA,NA,NA,2022-02-05T10:58:08,NA,NA,18:58:08Z,Arionidae,"2629",NA,NA,NA,United States of America,3759584813,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,carabid_47,NA,NA,NA,"247289748",NA,"Most likely, according to the colour pattern and the smoothish surface",NA,Saryu Mae,"106246397",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3759584813.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 10:57:35.143,2022/06/03 10:57:35.143,45.089613999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-123.043830999999997,2022-04-07T14:24:26.000+00:00,"2",NA,NA,NA,NA,https://www.inaturalist.org/observations/106246397,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Connor Erik Jay Graham,NA,https://www.inaturalist.org/observations/106246397,NA,Connor Erik Jay Graham,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-02-05 10:58:08,NA,"Gervais, OR 97026, USA",NA,NA,NA,NA,"2022",2022/07/05
"9",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,New York,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"109421649",Gastropoda,"225","New York, United States",Observations,NA,NA,NA,NA,"74",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-03-25T01:33:45,"24",NA,NA,NA,NA,NA,NA,NA,2022-03-24T18:08:00,NA,NA,22:08:00Z,Arionidae,"2629",NA,NA,NA,United States of America,3747188546,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,spaceopossum,NA,NA,NA,"244307428",NA,NA,NA,spaceopossum,"109421649",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3747188546.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 10:57:47.021,2022/06/03 10:57:47.021,41.210647999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-73.871600999999998,2022-03-27T15:04:00.000+00:00,"3",NA,NA,NA,NA,https://www.inaturalist.org/observations/109421649,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,spaceopossum,NA,https://www.inaturalist.org/observations/109421649,NA,spaceopossum,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,Thu Mar 24 2022 18:08:00 GMT-0400 (EDT),NA,"Croton-on-Hudson, NY, US",NA,NA,NA,NA,"2022",2022/07/05
"10",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Iowa,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"109923416",Gastropoda,"225","Iowa, United States",Observations,NA,NA,NA,NA,"4",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-03-30T14:39:16,"30",NA,NA,NA,NA,NA,NA,NA,2022-03-30T09:38:21,NA,NA,09:38:21Z,Arionidae,"2629",NA,NA,NA,United States of America,3760290395,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,marcitrana,NA,NA,NA,"245520330",NA,NA,NA,marcitrana,"109923416",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3760290395.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 10:58:00.355,2022/06/03 10:58:00.355,41.749541999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-91.531395000000003,2022-04-07T02:01:14.000+00:00,"3",NA,NA,NA,NA,https://www.inaturalist.org/observations/109923416,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,marcitrana,NA,https://www.inaturalist.org/observations/109923416,NA,marcitrana,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,Wed Mar 30 2022 09:38:21 GMT-0500 (CDT),NA,"Solon, IA, US",NA,NA,NA,NA,"2022",2022/07/05
"12",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Massachusetts,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"110108130",Gastropoda,"225","Massachusetts, United States",Observations,NA,NA,NA,NA,"9",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-04-01T18:27:55,"1",NA,NA,NA,NA,NA,NA,NA,2022-04-01T14:25:01,NA,NA,18:25:01Z,Arionidae,"2629",NA,NA,NA,United States of America,3759689549,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,skye_mcd23,NA,NA,NA,"245984196",NA,NA,NA,skye_mcd23,"110108130",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3759689549.000000476837158,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 10:58:46.404,2022/06/03 10:58:46.404,42.259920000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-72.568209999999993,2022-04-04T00:31:04.000+00:00,"4",NA,NA,NA,NA,https://www.inaturalist.org/observations/110108130,Found on fallen tree stump near stream.,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,skye_mcd23,NA,https://www.inaturalist.org/observations/110108130,NA,skye_mcd23,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,Fri Apr 01 2022 14:25:01 GMT-0400 (EDT),NA,"South Hadley, MA, US",NA,NA,NA,NA,"2022",2022/07/05
"13",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Massachusetts,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"110108800",Gastropoda,"225","Massachusetts, United States",Observations,NA,NA,NA,NA,"4",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-04-02T02:47:42,"1",NA,NA,NA,NA,NA,NA,NA,2022-04-01T14:26:08,NA,NA,18:26:08Z,Arionidae,"2629",NA,NA,NA,United States of America,3759957552,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,mimichambers,NA,NA,NA,"246069896",NA,NA,NA,Francis Gården,"110108800",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3759957552.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 10:58:38.837,2022/06/03 10:58:38.837,42.259954999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-72.568070000000006,2022-04-25T14:07:37.000+00:00,"4",NA,NA,NA,NA,https://www.inaturalist.org/observations/110108800,Found on a log near water.,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Mia Chamberlain,NA,https://www.inaturalist.org/observations/110108800,NA,Mia Chamberlain,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-04-01 14:26:08-04:00,NA,"South Hadley, MA, US",NA,NA,NA,NA,"2022",2022/07/05
"14",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Oregon,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"110243806",Gastropoda,"225","Oregon, United States",Observations,NA,NA,NA,NA,NA,United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-04-07T09:29:20,"2",NA,NA,NA,NA,NA,NA,NA,2022-04-02T16:12:21,NA,NA,23:12:21Z,Arionidae,"2629",NA,NA,NA,United States of America,3760290724,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,carabid_47,NA,NA,NA,"247289093",NA,NA,NA,Saryu Mae,"110243806",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3760290723.999999523162842,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 11:15:17.810,2022/06/03 11:15:17.810,44.974856000000003,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-123.072902999999997,2022-04-07T14:23:31.000+00:00,"4",NA,NA,NA,NA,https://www.inaturalist.org/observations/110243806,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Connor Erik Jay Graham,NA,https://www.inaturalist.org/observations/110243806,NA,Connor Erik Jay Graham,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-04-02 16:12:21,NA,"West Salem, Salem, OR 97304, USA",NA,NA,NA,NA,"2022",2022/07/05
"15",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Tennessee,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"112180012",Gastropoda,"225","Tennessee, United States",Observations,NA,NA,NA,NA,"8",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-04-20T18:51:42,"20",NA,NA,NA,NA,NA,NA,NA,2022-04-20T13:40:10,NA,NA,18:40:10Z,Arionidae,"2629",NA,NA,NA,United States of America,3764550455,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,gablefe,NA,NA,NA,"251034695",NA,NA,NA,serotonin,"112180012",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3764550455.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 11:16:57.310,2022/06/03 11:16:57.310,36.532657999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-87.351224999999999,2022-04-28T01:08:34.000+00:00,"4",NA,NA,NA,NA,https://www.inaturalist.org/observations/112180012,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Gabriella LeFevre,NA,https://www.inaturalist.org/observations/112180012,NA,Gabriella LeFevre,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-04-20 13:40:10,NA,"Peay Pickup College St and APSU Presidents House, Clarksville, TN 37044, USA",NA,NA,NA,NA,"2022",2022/07/05
"25",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Virginia,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"114467059",Gastropoda,"225","Virginia, United States",Observations,NA,NA,NA,NA,"28181",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-05-06T00:08:17,"1",NA,NA,NA,NA,NA,NA,NA,2022-05-01T19:37:54,NA,NA,23:37:54Z,Arionidae,"2629",NA,NA,NA,United States of America,3773365212,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,sarliz9,NA,NA,NA,"257232877",NA,NA,NA,Tammy Schwab,"114467059",FALSE,NA,Coordinate uncertainty increased to 28181m at the request of the observer,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3773365212.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 11:25:08.348,2022/06/03 11:25:08.348,38.803238000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-77.220247999999998,2022-05-06T13:39:11.000+00:00,"5",NA,NA,NA,NA,https://www.inaturalist.org/observations/114467059,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,sarliz9,NA,https://www.inaturalist.org/observations/114467059,NA,sarliz9,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-05-01 19:37:54-04:00,NA,"Virginia, US",NA,NA,NA,NA,"2022",2022/07/05
"27",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Virginia,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"114372002",Gastropoda,"225","Virginia, United States",Observations,NA,NA,NA,NA,"4",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-05-01T20:07:02,"1",NA,NA,NA,NA,NA,NA,NA,2022-05-01T12:04:53,NA,NA,16:04:53Z,Arionidae,"2629",NA,NA,NA,United States of America,3773475658,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,goerizr12,NA,NA,NA,"254919439",NA,NA,NA,goerizr12,"114372002",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3773475658.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 11:55:09.953,2022/06/03 11:55:09.953,38.961230000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-77.313186999999999,2022-05-03T23:45:52.000+00:00,"5",NA,NA,NA,NA,https://www.inaturalist.org/observations/114372002,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,goerizr12,NA,https://www.inaturalist.org/observations/114372002,NA,goerizr12,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,Sun May 01 2022 12:04:53 GMT-0400 (EDT),NA,"Lake Fairfax Park, Reston, VA, US",NA,NA,NA,NA,"2022",2022/07/05
"36",NA,"Arion subfuscus (Draparnaud, 1805)","2294099",NA,Virginia,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"118310565",Gastropoda,"225","Virginia, United States",Observations,NA,NA,NA,NA,"186",United States,"309",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-05-23T02:22:46,"22",NA,NA,NA,NA,NA,NA,NA,2022-05-22T00:00:00,NA,NA,NA,Arionidae,"2629",NA,NA,NA,United States of America,3802349012,Arion,Arion,"2294092",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,NA,chstudiosnet,NA,NA,NA,"262980726",NA,NA,NA,Linda Hinchey,"118310565",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,LC,3802349012.000000000000000,Animalia,"1",NA,2022/06/03 07:39:47.021,2022/06/03 11:13:27.248,2022/06/03 11:13:27.248,36.630426000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-81.788377999999994,2022-05-23T19:43:27.000+00:00,"5",NA,NA,NA,NA,https://www.inaturalist.org/observations/118310565,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Linda Hinchey,NA,https://www.inaturalist.org/observations/118310565,NA,Linda Hinchey,NA,NA,NA,"Arion subfuscus (Draparnaud, 1805)",Arion subfuscus,"2294099",subfuscus,NA,NA,"61428","2294099",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2022-05-22,NA,706 South Shady Avenue,NA,NA,NA,NA,"2022",2022/07/05
