phylum,class,order,family,genus,species,country,adm1,lon,lat
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-88.493058000000005,31.620880000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375783999999996,31.287583000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375786000000005,31.287417999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375579999999999,31.287597000000002
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.848366999999996,31.531790000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375686999999999,31.288451999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375630000000001,31.288345000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Louisiana,-90.974688000000000,30.339630000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Louisiana,-91.123580000000004,30.325713000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Louisiana,-91.133572000000001,30.386337000000001
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375623000000004,31.287542999999999
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-88.713493999999997,30.377011000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-88.519683999999998,30.663767000000000
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Mississippi,-89.375736000000003,31.287527999999998
Mollusca,Gastropoda,Systellommatophora,Veronicellidae,Belocaulus,Belocaulus angustipes,United States,Alabama,-88.147201999999993,30.849257999999999
