fid,field_1,acceptedNa,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,basisOfRec,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,dispositio,dynamicPro,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventTime,family,familyKey,fieldNumbe,footprintW,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,habitat,higherClas,higherGeog,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,http_//u_6,identifica,identifi_1,identifi_2,identified,identifier,inCluster,individual,informatio,installati,institutio,institut_1,institut_2,isInCluste,island,islandGrou,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationAc,locationID,locationRe,lon,materialSa,modified,month,municipali,nameAccord,nomenclatu,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismNa,organismRe,originalNa,otherCatal,ownerInsti,phylum,phylumKey,preparatio,programmeA,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rightsHold,samplingPr,scientific,scientif_1,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,verbatimEl,verbatimEv,verbatimLo,vernacular,waterBody,year,downloadDa
1,69,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Florida,NA,NA,NA,HUMAN_OBSERVATION,"71058492",Gastropoda,225,"Florida, United States",Observations,NA,NA,NA,NA,"5",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-12T21:49:44,"12",NA,NA,NA,NA,NA,NA,2021-03-12T08:16:41,NA,13:16:41Z,Veronicellidae,6526,NA,NA,United States of America,3061764627.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,mironc60,NA,NA,NA,NA,"159137971",NA,NA,mironc60,"71058492",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3061764627.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:05:00.820+00:00,2022-02-20T01:05:00.820+00:00,28.370987000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-80.609601999999995,NA,2021-03-13T00:16:53.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/71058492,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,mironc60,NA,https://www.inaturalist.org/observations/71058492,mironc60,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Fri Mar 12 2021 08:16:41 GMT-0500 (EST),"N Banana River Blvd, Cape Canaveral, FL, US",NA,NA,"2021",2022-02-20
2,220,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Florida,NA,NA,NA,HUMAN_OBSERVATION,"88374484",Gastropoda,225,"Florida, United States",Observations,NA,NA,NA,NA,"22",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-07-24T12:21:47,"24",NA,NA,NA,NA,NA,NA,2021-07-24T07:51:07,NA,11:51:07Z,Veronicellidae,6526,NA,NA,United States of America,3333138774.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,scolopendracc,NA,NA,NA,NA,"193689470",NA,NA,Susan J. Hewitt,"88374484",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3333138774.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:28:13.977+00:00,2022-02-20T00:28:13.977+00:00,26.339186999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-81.698937000000001,NA,2021-07-24T14:12:37.000+00:00,"7",NA,NA,NA,https://www.inaturalist.org/observations/88374484,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,scolopendracc,NA,https://www.inaturalist.org/observations/88374484,scolopendracc,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Sat Jul 24 2021 07:51:07 GMT-0400 (EDT),"Bonita Springs, FL, US",NA,NA,"2021",2022-02-20
3,597,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Florida,NA,NA,NA,HUMAN_OBSERVATION,"58898857",Gastropoda,225,"Florida, United States",Observations,NA,NA,NA,NA,"30",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-09-07T23:25:23,"30",NA,NA,NA,NA,NA,NA,2020-08-30T13:00:54,NA,17:00:54Z,Veronicellidae,6526,NA,NA,United States of America,2862560134.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,kaiser_a_906,NA,NA,NA,NA,"128847688",NA,NA,kaiser_a_906,"58898857",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,2862560134.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:42:58.004+00:00,2022-02-20T00:42:58.004+00:00,27.902643000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-82.494365000000002,NA,2020-09-17T03:13:38.000+00:00,"8",NA,NA,NA,https://www.inaturalist.org/observations/58898857,This organism is a type of slug that can be brownish or black. When brown this slug looks like a leather leaf hence the name Tropical Leatherleaf Slug. This observation was made on cement near a grassy area. These slugs are one to three inches in length,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,kaiser_a_906,NA,https://www.inaturalist.org/observations/58898857,kaiser_a_906,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Sun Aug 30 2020 13:00:54 GMT-0400 (EDT),"W Harbor View Ave, Tampa, FL, US",NA,NA,"2020",2022-02-20
4,827,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Florida,NA,NA,NA,HUMAN_OBSERVATION,"27177848",Gastropoda,225,"Florida, United States",Observations,NA,NA,NA,NA,"10",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2019-06-17T22:38:41,"17",NA,NA,NA,NA,NA,NA,2019-06-17T18:05:34,NA,22:05:34Z,Veronicellidae,6526,NA,NA,United States of America,2269287169.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,cayleyb,NA,NA,NA,NA,"59277716",NA,NA,Susan J. Hewitt,"27177848",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,2269287169.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:04:28.141+00:00,2022-02-20T01:04:28.141+00:00,29.646474999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-82.334256999999994,NA,2019-06-18T01:45:28.000+00:00,"6",NA,NA,NA,https://www.inaturalist.org/observations/27177848,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,cayleyb,NA,https://www.inaturalist.org/observations/27177848,cayleyb,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Mon Jun 17 2019 18:05:34 GMT-0400 (EDT),"911 SW 6th Ave, Gainesville, FL, US",NA,NA,"2019",2022-02-20
5,912,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,San Juan,NA,NA,NA,HUMAN_OBSERVATION,"9735310",Gastropoda,225,"San Juan, Puerto Rico",Observations,NA,NA,NA,NA,"206",Puerto Rico,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2018-02-05T01:28:08,"8",NA,NA,NA,NA,NA,NA,2018-01-08T19:43:00,NA,00:43:00Z,Veronicellidae,6526,NA,NA,Puerto Rico,1831163885.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,blanche_laino,NA,NA,NA,NA,"21435449",NA,NA,blanche_laino,"9735310",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,PR,NE,1831163885.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:36:45.945+00:00,2022-02-20T00:36:45.945+00:00,18.402788999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-66.049805000000006,NA,2018-02-19T20:18:48.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/9735310,Esta babosa se encontr� posando sobre una pared.,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,blanche_laino,NA,https://www.inaturalist.org/observations/9735310,blanche_laino,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2018/01/08 7:43 PM EST,"San Juan, 00931, Puerto Rico",NA,NA,"2018",2022-02-20
6,1056,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Florida,NA,NA,NA,HUMAN_OBSERVATION,"6918658",Gastropoda,225,"Florida, Puerto Rico",Observations,NA,NA,NA,NA,NA,Puerto Rico,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2017-07-04T19:08:58,"3",NA,NA,NA,NA,NA,NA,2017-07-03T21:10:10,NA,01:10:10Z,Veronicellidae,6526,NA,NA,Puerto Rico,1572362425.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,elspethpierce,NA,NA,NA,NA,"14302006",NA,NA,Susan J. Hewitt,"6918658",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,PR,NE,1572362425.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:48:47.309+00:00,2022-02-20T00:48:47.309+00:00,18.356349999999999,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,NA,NA,NA,NA,-66.539599999999993,NA,2017-07-05T02:16:02.000+00:00,"7",NA,NA,NA,https://www.inaturalist.org/observations/6918658,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,elspethpierce,NA,https://www.inaturalist.org/observations/6918658,elspethpierce,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Mon Jul 03 2017 21:10:10 GMT-0400 (EDT),"00650, Florida, PR, US",NA,NA,"2017",2022-02-20
7,1096,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Ceiba,NA,NA,NA,HUMAN_OBSERVATION,"42435264",Gastropoda,225,"Ceiba, Puerto Rico",Observations,NA,NA,NA,NA,"100",Puerto Rico,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-04-18T00:44:32,"1",NA,NA,NA,NA,NA,NA,2016-12-01T21:24:00,NA,05:24:00Z,Veronicellidae,6526,NA,NA,Puerto Rico,2609137691.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,serpophaga,NA,NA,NA,NA,"96047979",NA,NA,Adam J. Searcy,"42435264",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,PR,NE,2609137691.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:50:43.352+00:00,2022-02-20T00:50:43.352+00:00,18.272099999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-65.678569999999993,NA,2020-04-18T02:00:19.000+00:00,"12",NA,NA,NA,https://www.inaturalist.org/observations/42435264,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Adam J. Searcy,NA,https://www.inaturalist.org/observations/42435264,Adam J. Searcy,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2016/12/01 9:24 PM PST,"R�o Abajo, Ceiba, Puerto Rico",NA,NA,"2016",2022-02-20
8,45,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Texas,NA,NA,NA,HUMAN_OBSERVATION,"68734381",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"26",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-28T22:39:41,"24",NA,NA,NA,NA,NA,NA,2021-01-24T14:13:00,NA,20:13:00Z,Veronicellidae,6526,NA,NA,United States of America,3032071040.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,drewrdavis,NA,NA,NA,NA,"152488024",NA,NA,Susan J. Hewitt,"68734381",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3032071040.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:22:11.900+00:00,2022-02-20T00:22:11.900+00:00,25.952976000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-97.542333999999997,NA,2021-01-29T12:12:47.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/68734381,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,"Drew R. Davis, Ph.D.",NA,https://www.inaturalist.org/observations/68734381,"Drew R. Davis, Ph.D.",NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,Sun Jan 24 2021 14:13:00 GMT-0600 (CST),"Brownsville, TX, US",NA,NA,"2021",2022-02-20
9,1097,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Texas,NA,NA,NA,HUMAN_OBSERVATION,"20037607",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"11252",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-04-21T19:42:43,"24",NA,NA,NA,NA,NA,NA,2015-05-24T21:13:00,NA,01:13:00Z,Veronicellidae,6526,NA,NA,United States of America,2609072151.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,jessicalowery,NA,NA,NA,NA,"96775966",NA,NA,Yan Cai,"20037607",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,2609072151.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:22:26.135+00:00,2022-02-20T00:22:26.135+00:00,25.977429999999998,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-97.567269999999994,NA,2020-04-22T01:38:07.000+00:00,"5",NA,NA,NA,https://www.inaturalist.org/observations/20037607,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Jessica Lowery,NA,https://www.inaturalist.org/observations/20037607,Jessica Lowery,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2015-05-24 9:13:00 PM EDT,"Unnamed Road, Brownsville, TX 78520, USA",NA,NA,"2015",2022-02-20
10,1098,NA,"Laevicaulis alte (F�russac, 1822)",2293764,NA,Texas,NA,NA,NA,HUMAN_OBSERVATION,"46436803",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"223",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-05-19T14:23:07,"6",NA,NA,NA,NA,NA,NA,2015-06-06T12:12:00,NA,16:12:00Z,Veronicellidae,6526,NA,NA,United States of America,2826408466.000000000000000,Laevicaulis,Laevicaulis,2293763,WGS84,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,mpoinat,NA,NA,NA,NA,"104090529",NA,NA,Yan Cai,"46436803",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,2826408466.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:24:08.030+00:00,2022-02-20T00:24:08.030+00:00,25.852329999999998,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-97.417800000000000,NA,2020-05-19T15:27:13.000+00:00,"6",NA,NA,NA,https://www.inaturalist.org/observations/46436803,NA,PRESENT,Systellommatophora,1455,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Mike Ostrowski,NA,https://www.inaturalist.org/observations/46436803,Mike Ostrowski,NA,"Laevicaulis alte (F�russac, 1822)",NA,Laevicaulis alte,2293764,alte,NA,NA,"85102",2293764,ACCEPTED,SPECIES,NA,NA,NA,NA,2015/06/06 12:12 PM EDT,"8435 Sabal Palm Grove Rd, Brownsville, TX 78521, USA",NA,NA,"2015",2022-02-20
