fid,field_1,acceptedNa,accepted_1,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,associat_2,associat_3,basisOfRec,behavior,bibliograp,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,depth,depthAccur,dispositio,dynamicPro,earliestAg,earliestEo,earliestEp,earliestEr,earliestPe,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventRemar,eventTime,family,familyKey,fieldNotes,fieldNumbe,footprintS,footprintW,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,georefer_5,habitat,higherClas,higherGeog,higherGe_1,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,http_//u_6,http_//u_7,http_//u_8,http_//u_9,identifica,identifi_1,identifi_2,identifi_3,identified,identifier,inCluster,individual,informatio,infraspeci,installati,institutio,institut_1,institut_2,isInCluste,island,islandGrou,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,latestEonO,latestEraO,latestPeri,license,lifeStage,locality,locationAc,locationID,locationRe,lon,modified,month,municipali,nameAccord,nomenclatu,nomencla_1,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismQu,organism_1,organismRe,originalNa,otherCatal,ownerInsti,parentName,parentNa_1,phylum,phylumKey,preparatio,previousId,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rights,rightsHold,samplingPr,scientific,scientif_1,sex,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,typifiedNa,verbatimCo,verbatimDe,verbatimEv,verbatimId,verbatimLo,verbatimSR,verbatimTa,vernacular,waterBody,year,downloadDa
1,1848,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,Texas,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"43235511",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"29407",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-04-25T02:10:14,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-04-24T18:27:53,NA,NA,18:27:53Z,Helicidae,6540,NA,NA,NA,NA,United States of America,2611064236.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,lunabella99,NA,NA,NA,NA,NA,NA,"97590711",NA,NA,NA,Jann Vendetti,"43235511",FALSE,NA,Coordinate uncertainty increased to 29407m at the request of the observer,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,2611064236.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T01:57:38.480+00:00,2022-02-15T01:57:38.480+00:00,30.026949999999999,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-97.448390000000003,2020-04-25T03:34:05.000+00:00,"4",NA,NA,NA,NA,https://www.inaturalist.org/observations/43235511,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,lunabella99,NA,https://www.inaturalist.org/observations/43235511,NA,lunabella99,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,Fri Apr 24 2020 18:27:53 GMT-0500 (CDT),NA,"Texas, US",NA,NA,NA,NA,"2020",2022-02-19
2,2169,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,Texas,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"51440811",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,"2",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-05-09T16:54:41,"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020-06-29T12:38:38,NA,NA,17:38:38Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3113581352.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,adrianj,NA,NA,NA,NA,NA,NA,"173311412",NA,NA,NA,John G. Phillips,"51440811",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3113581352.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T01:59:09.382+00:00,2022-02-15T01:59:09.382+00:00,30.312819999999999,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-97.698459999999997,2021-05-10T15:44:20.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/51440811,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,AJ Johnson,NA,https://www.inaturalist.org/observations/51440811,NA,AJ Johnson,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,Mon Jun 29 2020 12:38:38 GMT-0500 (CDT),NA,"1414 Larkwood Dr., Austin, TX, US",NA,NA,NA,NA,"2020",2022-02-19
3,5000,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,Texas,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"1053966",Gastropoda,225,"Texas, United States",Observations,NA,NA,NA,NA,NA,United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2014-11-24T01:52:44,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-03T00:00:00,NA,NA,NA,Helicidae,6540,NA,NA,NA,NA,United States of America,1038345820.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,connlindajo,NA,NA,NA,NA,NA,NA,"1954724",NA,NA,NA,Susan J. Hewitt,"1053966",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,1038345820.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:35:40.201+00:00,2022-02-15T02:35:40.201+00:00,30.537730000000000,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-96.699659999999994,2020-11-16T18:40:44.000+00:00,"11",NA,NA,NA,NA,http://www.inaturalist.org/observations/1053966,On Smilax bona-nox (Smilacaceae) Saw greenbrier,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Linda Jo Conn,NA,https://www.inaturalist.org/observations/1053966,NA,Linda Jo Conn,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2014-11-03,NA,"Caldwell, TX",NA,NA,NA,NA,"2014",2022-02-19
4,33,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"105183808",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"1223",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-19T00:39:53,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-18T11:30:00,NA,NA,19:30:00Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3457221283.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,obmissy,NA,NA,NA,NA,NA,NA,"232305368",NA,NA,NA,obmissy,"105183808",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3457221283.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:34:19.117+00:00,2022-02-15T02:34:19.117+00:00,32.795554000000003,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-117.186577000000000,2022-01-19T07:02:49.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/105183808,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,obmissy,NA,https://www.inaturalist.org/observations/105183808,NA,obmissy,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2022/01/18 11:30 AM PST,NA,"5180 Tecolote Rd, San Diego, CA 92110, USA",NA,NA,NA,NA,"2022",2022-02-19
5,79,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"68563246",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,NA,United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-24T20:36:00,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-24T10:40:34,NA,NA,18:40:34Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3032066714.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,anewmark,NA,NA,NA,NA,NA,NA,"151950352",NA,NA,NA,Andrew N,"68563246",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3032066714.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:00:54.907+00:00,2022-02-15T02:00:54.907+00:00,32.571990999999997,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-117.125814000000005,2021-02-03T06:09:14.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/68563246,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Andrew N,NA,https://www.inaturalist.org/observations/68563246,NA,Andrew N,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2021-01-24 10:40:34 AM PST,NA,"Imperial Beach, CA, USA",NA,NA,NA,NA,"2021",2022-02-19
6,80,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"68471364",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"5",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-23T01:55:28,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-22T13:57:50,NA,NA,21:57:50Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3032071536.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,silversea_starsong,NA,NA,NA,NA,NA,NA,"151696704",NA,NA,NA,J. Bailey,"68471364",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3032071536.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:01:27.279+00:00,2022-02-15T02:01:27.279+00:00,32.973824999999998,NA,NA,NA,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-117.070268999999996,2021-01-24T19:20:42.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/68471364,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,J. Bailey,NA,https://www.inaturalist.org/observations/68471364,NA,J. Bailey,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,Fri Jan 22 2021 13:57:50 GMT-0800 (PST),NA,"San Diego County, US-CA, US",NA,NA,NA,NA,"2021",2022-02-19
7,97,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"67857218",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"334",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-10T16:15:11,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-09T13:06:00,NA,NA,21:06:00Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3070579448.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,redrovertracy,NA,NA,NA,NA,NA,NA,"149951483",NA,NA,NA,redrovertracy,"67857218",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3070579448.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:24:40.344+00:00,2022-02-15T02:24:40.344+00:00,33.744231999999997,NA,NA,NA,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-118.404619999999994,2021-01-10T23:36:05.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/67857218,chevrons!,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,redrovertracy,NA,https://www.inaturalist.org/observations/67857218,NA,redrovertracy,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2021/01/09 1:06 PM PST,NA,"Rancho Palos Verdes, CA, USA",NA,NA,NA,NA,"2021",2022-02-19
8,98,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"67594559",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"275",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-05T00:08:48,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-04T11:08:00,NA,NA,19:08:00Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3070717389.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,redrovertracy,NA,NA,NA,NA,NA,NA,"149150830",NA,NA,NA,redrovertracy,"67594559",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3070717389.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T01:58:15.793+00:00,2022-02-15T01:58:15.793+00:00,33.744788000000000,NA,NA,NA,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-118.405513999999997,2021-01-20T03:12:53.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/67594559,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,redrovertracy,NA,https://www.inaturalist.org/observations/67594559,NA,redrovertracy,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2021/01/04 11:08 AM PST,NA,"Rancho Palos Verdes, CA, USA",NA,NA,NA,NA,"2021",2022-02-19
9,99,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"67594561",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"275",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-05T00:08:49,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-04T11:11:00,NA,NA,19:11:00Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3070738445.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,redrovertracy,NA,NA,NA,NA,NA,NA,"149150832",NA,NA,NA,redrovertracy,"67594561",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3070738445.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:53:59.507+00:00,2022-02-15T02:53:59.507+00:00,33.744788000000000,NA,NA,NA,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-118.405513999999997,2021-01-06T18:14:38.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/67594561,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,redrovertracy,NA,https://www.inaturalist.org/observations/67594561,NA,redrovertracy,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2021/01/04 11:11 AM PST,NA,"Rancho Palos Verdes, CA, USA",NA,NA,NA,NA,"2021",2022-02-19
10,100,NA,NA,"Theba pisana (O.F.M�ller, 1774)",2294277,NA,California,NA,NA,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"67594568",Gastropoda,225,"California, United States",Observations,NA,NA,NA,NA,"275",United States,291,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-01-05T00:08:51,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-01-04T11:22:00,NA,NA,19:22:00Z,Helicidae,6540,NA,NA,NA,NA,United States of America,3070775332.000000000000000,Theba,Theba,2294276,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,NA,redrovertracy,NA,NA,NA,NA,NA,NA,"149150841",NA,NA,NA,redrovertracy,"67594568",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3070775332.000000000000000,Animalia,1,NA,2022-01-25T19:52:07.833+00:00,2022-02-15T02:41:40.949+00:00,2022-02-15T02:41:40.949+00:00,33.744788000000000,NA,NA,NA,http://creativecommons.org/licenses/by/4.0/legalcode,NA,NA,NA,NA,NA,-118.405513999999997,2021-01-10T23:50:05.000+00:00,"1",NA,NA,NA,NA,https://www.inaturalist.org/observations/67594568,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,redrovertracy,NA,https://www.inaturalist.org/observations/67594568,NA,redrovertracy,NA,"Theba pisana (O.F.M�ller, 1774)",NA,NA,Theba pisana,2294277,pisana,NA,NA,"119608",2294277,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,2021/01/04 11:22 AM PST,NA,"Rancho Palos Verdes, CA, USA",NA,NA,NA,NA,"2021",2022-02-19
