fid,field_1,acceptedNa,accepted_1,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,basisOfRec,behavior,bibliograp,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,dispositio,dynamicPro,earliestEp,earliestEr,earliestPe,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventRemar,eventTime,family,familyKey,fieldNotes,fieldNumbe,footprintS,footprintW,fullCountr,furtherInf,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,georefer_5,habitat,higherClas,higherGeog,higherGe_1,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,identifica,identifi_1,identifi_2,identifi_3,identified,identifier,inCluster,individual,informatio,infraspeci,installati,institutio,institut_1,institut_2,isInCluste,island,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationAc,locationID,locationRe,lon,materialSa,modified,month,municipali,nameAccord,nomenclatu,nomencla_1,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismQu,organism_1,organismRe,originalNa,otherCatal,ownerInsti,parentName,parentNa_1,phylum,phylumKey,preparatio,previousId,projectId,protocol,publishing,publishi_1,recordedBy,recordNumb,references,rights,rightsHold,samplingPr,scientific,sex,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,typifiedNa,verbatimCo,verbatimEv,verbatimId,verbatimLo,verbatimSR,verbatimTa,vernacular,year,downloadDa
1,164,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Michigan,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"91459269",Gastropoda,225,"Michigan, United States",Observations,NA,NA,NA,NA,"5",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-08-16T21:33:16,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-08-16T17:32:46,NA,NA,21:32:46Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3455268225.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,sarahjosaunders,NA,NA,NA,"199877349",NA,NA,NA,sarahjosaunders,"91459269",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,3455268225.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:05:17.848+00:00,2022-02-20T01:05:17.848+00:00,42.940711999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-85.743696999999997,NA,2021-12-06T17:39:06.000+00:00,"8",NA,NA,NA,NA,https://www.inaturalist.org/observations/91459269,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,sarahjosaunders,NA,https://www.inaturalist.org/observations/91459269,NA,sarahjosaunders,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,Mon Aug 16 2021 17:32:46 GMT-0400 (EDT),NA,"Millennium Park, Walker, MI, US",NA,NA,NA,"2021",2022-02-20
2,611,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Michigan,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"28558296",Gastropoda,225,"Michigan, United States",Observations,NA,NA,NA,NA,"8",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-12-15T20:43:29,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-10T09:28:00,NA,NA,13:28:00Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3112729326.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ken-potter,NA,NA,NA,"146321649",NA,NA,NA,sullimander,"28558296",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,3112729326.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:04:53.543+00:00,2022-02-20T01:04:53.543+00:00,42.292743000000002,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-84.420192000000000,NA,2021-05-05T16:26:00.000+00:00,"7",NA,NA,NA,NA,https://www.inaturalist.org/observations/28558296,@susanhewitt Any help?,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Ken Potter,NA,https://www.inaturalist.org/observations/28558296,NA,Ken Potter,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2019/07/10 9:28 AM EDT,NA,"Blackman, MI, USA",NA,NA,NA,"2019",2022-02-20
3,1942,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Michigan,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"66661656",Gastropoda,225,"Michigan, United States",Observations,NA,NA,NA,NA,"27661",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2020-12-16T17:17:36,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-06-04T16:09:00,NA,NA,20:09:00Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3455220905.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,sullimander,NA,NA,NA,"146425562",NA,NA,NA,sullimander,"66661656",FALSE,NA,Coordinate uncertainty increased to 27661m at the request of the observer,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,3455220905.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:25:11.517+00:00,2022-02-20T00:25:11.517+00:00,42.375779999999999,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-83.299980000000005,NA,2022-01-05T17:30:49.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/66661656,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,sullimander,NA,https://www.inaturalist.org/observations/66661656,NA,sullimander,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2001/06/04 12:09 PM EDT,NA,"Michigan, US",NA,NA,NA,"2001",2022-02-20
4,4434,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Michigan,Kent Co.,NA,NA,PRESERVED_SPECIMEN,NA,NA,"130787",Gastropoda,225,"The Meadows at Millennium Park, 1415 Maynard Avenue SW, Walker, Michigan, Kent Co., United States, NORTH_AMERICA",BMSM,NA,8aee5cc8-0c25-4b61-a648-a7886cd3ed85,NORTH_AMERICA,NA,NA,United States,231,NA,NA,417f4d21-959b-4773-90a2-c38d1822d873,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3042253268.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,in vegetation on pavement,NA,NA,NA,a86e9e36-12ec-49a4-a94c-c0c981fffb71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lorin Buckner,e22aa3dd-9723-4abb-92d2-e7c6d881da84,FALSE,NA,NA,NA,c6c9f784-8af9-4631-9912-dde88e38fafb,BMNSM,NA,262c6b69-0d4b-4963-aa55-3c6f93101816,FALSE,NA,US,NE,3042253268.000000000000000,Animalia,1,NA,2021-11-23T12:50:41.396+00:00,2022-01-29T18:11:01.019+00:00,2022-01-29T18:11:01.019+00:00,42.938220000000001,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,"The Meadows at Millennium Park, 1415 Maynard Avenue SW, Walker",NA,NA,NA,-85.743780000000001,NA,NA,NA,NA,NA,NA,NA,e22aa3dd-9723-4abb-92d2-e7c6d881da84,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,"Wet - 44; Whole animal",NA,"IMLS MA 05-12-0450-12, IMLS MA 30-15-0276-15",DWC_ARCHIVE,US,1c8732e1-36b1-4a7c-978e-f69542768ec3,NA,NA,NA,NA,NA,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,NA,4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-02-20
5,578,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"26455084",Gastropoda,225,"Montana, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2019-06-05T19:40:01,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-05T10:52:48,NA,NA,16:52:48Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,2422847055.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ian26,NA,NA,NA,"57814439",NA,NA,NA,ian foley,"26455084",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,2422847055.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:49:01.474+00:00,2022-02-20T00:49:01.474+00:00,47.486919000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-111.303047000000007,NA,2021-12-29T19:35:33.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/26455084,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ian foley,NA,https://www.inaturalist.org/observations/26455084,NA,ian foley,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2019-06-05 10:52:48 AM MDT,NA,"Great Falls, MT, USA",NA,NA,NA,"2019",2022-02-20
6,579,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"26455138",Gastropoda,225,"Montana, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2019-06-05T19:41:30,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-05T10:58:46,NA,NA,16:58:46Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,2542895362.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ian26,NA,NA,NA,"57814588",NA,NA,NA,ian foley,"26455138",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,2542895362.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:47:53.360+00:00,2022-02-20T00:47:53.360+00:00,47.486880999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-111.301665999999997,NA,2021-12-29T19:35:20.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/26455138,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ian foley,NA,https://www.inaturalist.org/observations/26455138,NA,ian foley,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2019-06-05 10:58:46 AM MDT,NA,"Great Falls, MT, USA",NA,NA,NA,"2019",2022-02-20
7,589,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"26455123",Gastropoda,225,"Montana, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2019-06-05T19:41:02,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-05T10:58:27,NA,NA,16:58:27Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3455710525.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ian26,NA,NA,NA,"57814539",NA,NA,NA,ian foley,"26455123",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,3455710525.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:45:31.860+00:00,2022-02-20T00:45:31.860+00:00,47.486880999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-111.301665999999997,NA,2021-12-29T19:35:10.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/26455123,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ian foley,NA,https://www.inaturalist.org/observations/26455123,NA,ian foley,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2019-06-05 10:58:27 AM MDT,NA,"Great Falls, MT, USA",NA,NA,NA,"2019",2022-02-20
8,590,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"26455102",Gastropoda,225,"Montana, United States",Observations,NA,NA,NA,NA,NA,United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2019-06-05T19:40:35,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-05T10:53:51,NA,NA,16:53:51Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,3456228551.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ian26,NA,NA,NA,"57814498",NA,NA,NA,ian foley,"26455102",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,3456228551.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:52:43.902+00:00,2022-02-20T00:52:43.902+00:00,47.486919000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-111.303047000000007,NA,2021-12-29T19:35:04.000+00:00,"6",NA,NA,NA,NA,https://www.inaturalist.org/observations/26455102,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ian foley,NA,https://www.inaturalist.org/observations/26455102,NA,ian foley,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2019-06-05 10:53:51 AM MDT,NA,"Great Falls, MT, USA",NA,NA,NA,"2019",2022-02-20
9,978,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,NA,NA,NA,HUMAN_OBSERVATION,NA,NA,"3846960",Gastropoda,225,"Montana, United States",Observations,NA,NA,NA,NA,"1376",United States,293,NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2016-08-09T22:55:17,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-09T16:52:54,NA,NA,22:52:54Z,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,1291678154.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,ian26,NA,NA,NA,"7424685",NA,NA,NA,ian foley,"3846960",FALSE,NA,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,US,NE,1291678154.000000000000000,Animalia,1,NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:43:33.431+00:00,2022-02-20T00:43:33.431+00:00,47.382407999999998,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,NA,-110.925646000000000,NA,2021-12-29T19:35:00.000+00:00,"8",NA,NA,NA,NA,http://www.inaturalist.org/observations/3846960,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,ian foley,NA,https://www.inaturalist.org/observations/3846960,NA,ian foley,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,"233779",4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,2016-08-09 4:52:54 PM MDT,NA,"404 Main Street Belt, MT 59412",NA,NA,NA,"2016",2022-02-20
10,1265,NA,NA,"Xerolenta obvia (Menke, 1828)",4565020,NA,Montana,Cascade County,NA,NA,PRESERVED_SPECIMEN,NA,NA,467423-Mollusca,Gastropoda,225,"Belt, Montana, Cascade County, United States, NORTH_AMERICA",Invertebrate Zoology,NA,4730346d-0a5b-454c-accd-b9ac7bdf8445,NORTH_AMERICA,NA,NA,United States,379,NA,NA,85b1cfb6-f762-11e1-a439-00145eb45e9a,NA,NA,"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-07-13T00:00:00,NA,NA,NA,Geomitridae,9599984,NA,NA,NA,NA,United States of America,NA,899681483.000000000000000,Xerolenta,Xerolenta,4405164,WGS84,NA,NA,NA,NA,NA,NA,NA,NA,"USA, Montana, Cascade County",NA,8483a1f0-1032-11db-ae00-b8a03c50a862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,D850BF0F-A2E4-4BEB-BF1C-844C7426AD67,FALSE,NA,NA,NA,12fadca0-d638-416d-8cee-6f29ef37a249,UF,NA,ab8b25c4-f95e-437b-82df-5aed3c9031ec,FALSE,NA,US,NE,899681483.000000000000000,Animalia,1,NA,2021-12-10T22:56:09.590+00:00,2022-01-29T20:10:03.655+00:00,2022-01-29T20:10:03.655+00:00,47.386800000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,Belt,NA,NA,NA,-110.926699999999997,NA,2021-04-27T19:14:29.000+00:00,"7",NA,NA,NA,NA,D850BF0F-A2E4-4BEB-BF1C-844C7426AD67,NA,PRESENT,Stylommatophora,1456,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mollusca,52,75% ethanol - 5,NA,NA,DWC_ARCHIVE,US,8483a1f0-1032-11db-ae00-b8a03c50a862,NA,NA,NA,NA,NA,NA,"Xerolenta obvia (Menke, 1828)",NA,Xerolenta obvia,4565020,obvia,NA,NA,NA,4565020,ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2013",2022-02-20
