field_1,acceptedNa,acceptedSc,acceptedTa,accessRigh,adm1,adm2,associated,associat_1,basisOfRec,bibliograp,catalogNum,class,classKey,cloc,collection,collecti_1,collecti_2,continent,coordinate,coordina_1,country,crawlId,dataGenera,datasetID,datasetKey,datasetNam,dateIdenti,day,dispositio,dynamicPro,earliestEp,earliestEr,earliestPe,elevation,elevationA,endDayOfYe,establishm,eventDate,eventID,eventRemar,eventTime,family,familyKey,fieldNotes,fieldNumbe,footprintS,footprintW,fullCountr,gbifID,genericNam,genus,genusKey,geodeticDa,georeferen,georefer_1,georefer_2,georefer_3,georefer_4,habitat,higherClas,higherGeog,higherGe_1,hostingOrg,http_//unk,http_//u_1,http_//u_2,http_//u_3,http_//u_4,http_//u_5,identifica,identifi_1,identifi_2,identified,identifier,inCluster,individual,informatio,installati,institutio,institut_1,institut_2,isInCluste,island,islandGrou,ISO2,iucnRedLis,key,kingdom,kingdomKey,language,lastCrawle,lastInterp,lastParsed,lat,license,lifeStage,locality,locationID,locationRe,lon,modified,month,municipali,nameAccord,nomenclatu,occurrence,occurren_1,occurren_2,order,orderKey,organismID,organismQu,organism_1,originalNa,otherCatal,ownerInsti,parentName,phylum,phylumKey,preparatio,previousId,projectId,protocol,publishing,publishi_1,recordedBy,references,rights,rightsHold,samplingPr,scientific,scientif_1,species,speciesKey,specificEp,startDayOf,taxonConce,taxonID,taxonKey,taxonomicS,taxonRank,taxonRemar,type,typeStatus,verbatimCo,verbatimEv,verbatimId,verbatimLo,verbatimSR,verbatimTa,vernacular,year,downloadDa
"618",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,Virginia,City of Hampton,NA,NA,PRESERVED_SPECIMEN,NA,"178807",Gastropoda,"225","Rice's Pit, Hampton, Virginia, City of Hampton, United States",Mollusk,b4ef45b3-f205-46cf-abc3-3fee350f89ba,NA,NA,NA,NA,United States,"104",NA,NA,3ee66eb3-4786-4bda-b7f1-c145b1a57a6b,NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,1984-07-25T00:00:00,NA,NA,NA,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,2451532517,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,Living on fossiliferous cliffs,Organism|Animalia|Mollusca|Gastropoda|Neritimorpha|Cycloneritida|Helicoidei|Helicoidea|Helicinoidea|Geomitridae|Helicinidae|Xerotricha|Helicina,NA,NA,96710dc8-fecb-440d-ae3e-c34ae8a9616f,NA,NA,NA,urn:uuid:6c8e5ad0-fee5-4695-b470-7d5f894d4379,NA,NA,NA,NA,NA,NA,"3158427",FALSE,NA,NA,6fdcfa44-e2fb-44e3-876d-7cf0e1f8bc9d,DMNH,NA,NA,FALSE,NA,NA,US,NE,2451532517,Animalia,"1",NA,2022-01-13T23:35:53.528+00:00,2022-01-29T10:19:51.421+00:00,2022-01-29T10:19:51.421+00:00,37.060563000000002,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,"Rice's Pit, Hampton",NA,NA,-76.326237000000006,2020-12-14T07:44:53.000+00:00,"7",NA,NA,NA,6b127d18-1338-4708-823d-5e163dedcd7c,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",Dry - 12,NA,NA,DWC_ARCHIVE,US,a42867f0-813a-11dc-82e0-b8a03c50a862,"Mikkelsen, Paula; Mikkelsen, Paul",https://invertebase.org/portal/collections/individual/index.php?occid=3158427,http://creativecommons.org/publicdomain/zero/1.0/,NA,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,"207",NA,"145483","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1984",2022-02-20
"2",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"104734201",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,"22",United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-11T00:46:04,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-10T10:41:00,NA,NA,18:41:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3455853168,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"230872856",NA,NA,Robin Gwen Agarwal,"104734201",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3455853168,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:31:48.612+00:00,2022-02-20T00:31:48.612+00:00,37.406154000000001,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-122.096907000000002,2022-01-11T18:19:33.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104734201,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/104734201,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/10 10:41 AM PST,NA,"Monta Loma, Mountain View, CA, USA",NA,NA,NA,"2022",2022-02-20
"6",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"104472621",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,"62",United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-06T17:39:46,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-05T09:06:00,NA,NA,17:06:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3456589088,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"230069503",NA,NA,Robin Gwen Agarwal,"104472621",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3456589088,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:53:42.446+00:00,2022-02-20T00:53:42.446+00:00,37.709359999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-121.477654000000001,2022-01-06T18:20:12.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104472621,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/104472621,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/05 9:06 AM PST,NA,"San Joaquin County, CA, USA",NA,NA,NA,"2022",2022-02-20
"7",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"105176700",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-18T22:08:50,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-18T11:08:00,NA,NA,19:08:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3456700934,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"232285153",NA,NA,Robin Gwen Agarwal,"105176700",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3456700934,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:49:57.217+00:00,2022-02-20T00:49:57.217+00:00,37.427795000000003,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-122.122623000000004,2022-01-18T22:33:55.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/105176700,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/105176700,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/18 11:08 AM PST,NA,"St. Claire Gardens, Palo Alto, CA 94306, USA",NA,NA,NA,"2022",2022-02-20
"9",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"104472588",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-06T17:39:35,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-05T10:02:00,NA,NA,18:02:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3456947286,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"230069451",NA,NA,Robin Gwen Agarwal,"104472588",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3456947286,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:26:13.007+00:00,2022-02-20T00:26:13.007+00:00,37.709457000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-121.477987999999996,2022-01-07T04:09:45.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104472588,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/104472588,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/05 10:02 AM PST,NA,"San Joaquin County, CA, USA",NA,NA,NA,"2022",2022-02-20
"10",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"104472587",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-06T17:39:35,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-05T10:01:00,NA,NA,18:01:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3457012110,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"230069449",NA,NA,Robin Gwen Agarwal,"104472587",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3457012110,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:51:13.807+00:00,2022-02-20T00:51:13.807+00:00,37.709432999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-121.478022999999993,2022-01-06T18:20:38.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/104472587,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/104472587,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/05 10:01 AM PST,NA,"San Joaquin County, CA, USA",NA,NA,NA,"2022",2022-02-20
"11",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"105176696",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2022-01-18T22:08:49,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-01-18T11:11:00,NA,NA,19:11:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3457057823,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"232285148",NA,NA,Robin Gwen Agarwal,"105176696",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3457057823,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:27:18.342+00:00,2022-02-20T00:27:18.342+00:00,37.427791999999997,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-122.122647000000001,2022-01-18T22:33:34.000+00:00,"1",NA,NA,NA,https://www.inaturalist.org/observations/105176696,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/105176696,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2022/01/18 11:11 AM PST,NA,"St. Claire Gardens, Palo Alto, CA 94306, USA",NA,NA,NA,"2022",2022-02-20
"49",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"72071758",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-03-26T06:02:37,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-03-25T15:02:18,NA,NA,22:02:18Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3070364367,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,boazsolorio,NA,NA,NA,"161493477",NA,NA,Boaz Benaiah Solorio,"72071758",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3070364367,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:50:45.570+00:00,2022-02-20T00:50:45.570+00:00,34.018338000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-118.085092000000003,2021-03-26T15:54:25.000+00:00,"3",NA,NA,NA,https://www.inaturalist.org/observations/72071758,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Boaz Benaiah Solorio,https://www.inaturalist.org/observations/72071758,NA,Boaz Benaiah Solorio,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2021-03-25 3:02:18 PM PDT,NA,"El Rancho, Pico Rivera, CA, USA",NA,NA,NA,"2021",2022-02-20
"78",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"101434924",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,NA,United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-11-19T00:39:26,"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-18T12:54:00,NA,NA,20:54:00Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3415590545,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,anudibranchmom,NA,NA,NA,"221540274",NA,NA,Robin Gwen Agarwal,"101434924",FALSE,NA,NA,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3415590545,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T00:26:49.851+00:00,2022-02-20T00:26:49.851+00:00,37.472752000000000,http://creativecommons.org/licenses/by-nc/4.0/legalcode,NA,NA,NA,NA,-122.223703000000000,2021-11-19T04:02:51.000+00:00,"11",NA,NA,NA,https://www.inaturalist.org/observations/101434924,"Hairs on shell. Found in nursery (Vespericola are native to the area, but it could easily be a non-native in this location).",PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Robin Gwen Agarwal,https://www.inaturalist.org/observations/101434924,NA,Robin Gwen Agarwal,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,2021/11/18 12:54 PM PST,NA,"Palm Park, Redwood City, CA, USA",NA,NA,NA,"2021",2022-02-20
"85",NA,"Xerotricha conspurcata (Draparnaud, 1801)","4564725",NA,California,NA,NA,NA,HUMAN_OBSERVATION,NA,"101037384",Gastropoda,"225","California, United States",Observations,NA,NA,NA,NA,"28417",United States,"293",NA,NA,50c9509d-22c7-4a22-a47d-8c48425ef4a7,iNaturalist research-grade observations,2021-11-21T22:42:52,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,2021-11-12T16:20:01,NA,NA,00:20:01Z,Geomitridae,"9599984",NA,NA,NA,NA,United States of America,3456963532,Xerotricha,Xerotricha,"4405124",WGS84,NA,NA,NA,NA,NA,NA,NA,NA,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,wild,NA,danieldas,NA,NA,NA,"222099098",NA,NA,Thomas Everest,"101037384",FALSE,NA,Coordinate uncertainty increased to 28417m at the request of the observer,997448a8-f762-11e1-a439-00145eb45e9a,iNaturalist,NA,NA,FALSE,NA,NA,US,NE,3456963532,Animalia,"1",NA,2022-02-19T21:20:30.126+00:00,2022-02-20T01:06:04.945+00:00,2022-02-20T01:06:04.945+00:00,37.284374999999997,http://creativecommons.org/publicdomain/zero/1.0/legalcode,NA,NA,NA,NA,-121.625840999999994,2021-11-30T06:05:50.000+00:00,"11",NA,NA,NA,https://www.inaturalist.org/observations/101037384,NA,PRESENT,Stylommatophora,"1456",NA,NA,NA,NA,NA,NA,NA,Mollusca,"52",NA,NA,NA,DWC_ARCHIVE,US,28eb1a3f-1c15-4a95-931a-4af90ecb574d,Daniel Das,https://www.inaturalist.org/observations/101037384,NA,Daniel Das,NA,"Xerotricha conspurcata (Draparnaud, 1801)",NA,Xerotricha conspurcata,"4564725",conspurcata,NA,NA,"233782","4564725",ACCEPTED,SPECIES,NA,NA,NA,NA,Fri Nov 12 2021 16:20:01 GMT-0800 (PST),NA,"California, US",NA,NA,NA,"2021",2022-02-20
