"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Sevastopol'",33.53448,44.54722
"2","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Krasnodar",37.316527,44.872565
"3","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Krasnodar",37.280886,44.965942
"4","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Krasnodar",37.985588,44.595577
"5","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",43.446353,44.883305
"6","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Krasnodar",37.961415,46.379902
"7","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Volgograd",44.440042,48.581054
"8","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",44.487564,44.033495
"9","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Dagestan",47.588,42.927202
"10","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Dnipropetrovs'k",33.354428,47.845073
"11","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Dnipropetrovs'k",33.458941,47.939419
"12","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",41.94429,44.991631
"13","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Odessa",30.129168,45.817536
"14","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Odessa",30.612459,46.497669
"15","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Volgograd",44.562771,48.504833
"16","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",43.436437,44.747702
"17","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","France","Provence-Alpes-C�te d'Azur",5.006335,44.192424
"18","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Kherson",32.598023,46.658736
"19","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","France","Provence-Alpes-C�te d'Azur",5.045306,44.057208
"20","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Rostov",41.731163,46.716669
"21","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Odessa",29.885757,45.677588
"22","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Krasnodar",37.916269,44.636663
"23","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Chechnya",45.740313,42.833909
"24","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",41.801028,45.015186
"25","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","Stavropol'",41.931707,45.034703
"26","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Russia","North Ossetia",44.320737,43.282022
"27","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Odessa",30.726929,46.423523
"28","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Sevastopol'",33.572843,44.604539
"29","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","France","Provence-Alpes-C�te d'Azur",4.73828,44.244892
"30","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Kherson",32.610517,46.72447
"31","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Zaporizhzhya",35.837758,46.657366
"32","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","France","Provence-Alpes-C�te d'Azur",4.735323,44.24329
"33","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Luhans'k",38.928056,49.273888
"34","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Kherson",32.717585,46.680795
"35","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Crimea",33.607932,44.970362
"36","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","France","Provence-Alpes-C�te d'Azur",5.095837,44.230659
"37","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xeropicta","Xeropicta derbentina","Ukraine","Kherson",33.744545,46.299323
