"","phylum","class","order","family","genus","species","country","adm1","lon","lat"
"1","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France",NA,-1.343484,45.970322
"2","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Emilia-Romagna",11.632809,44.778006
"3","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Spain","Castilla y Le�n",-5.09626,40.206995
"4","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Sicily",15.14822,37.554187
"5","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Spain","Andaluc�a",-6.006603,37.397094
"6","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Toscana",11.8624,43.480675
"7","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Emilia-Romagna",11.676861,44.684903
"8","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Spain","Andaluc�a",-3.117417,36.985615
"9","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Greece","Aegean",28.223301,36.452588
"10","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Campania",14.33885,41.237263
"11","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Greece","Aegean",28.216706,36.426455
"12","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Greece","Macedonia and Thrace",22.921891,40.839728
"13","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France","Provence-Alpes-C�te d'Azur",6.00921,43.193961
"14","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Portugal","Beja",-7.597874,37.944345
"15","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France","Languedoc-Roussillon",3.885359,43.832368
"16","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Portugal","Set�bal",-9.150628,38.629113
"17","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Spain","Andaluc�a",-3.120722,36.976959
"18","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France","Languedoc-Roussillon",4.03237,43.727035
"19","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Portugal","�vora",-7.985305,38.724595
"20","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France","Provence-Alpes-C�te d'Azur",6.009048,43.19462
"21","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Emilia-Romagna",11.319717,44.445976
"22","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Lazio",12.41221,41.914745
"23","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Spain","Andaluc�a",-6.148514,36.690806
"24","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Lazio",13.728438,41.245938
"25","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","Italy","Emilia-Romagna",11.461414,44.833303
"26","Mollusca","Gastropoda","Stylommatophora","Geomitridae","Xerotricha","Xerotricha conspurcata","France","Provence-Alpes-C�te d'Azur",5.540633,43.365261
