"lon","lat"
6.193516,49.693764
2.39513,42.1345
-28.72693,38.54319
-25.53031,37.73563
-28.61324,38.58987
-27.23572,38.69087
-27.12074,38.69105
-28.09392,38.41564
-28.44016,38.54707
-31.19045,39.47158
-27.17834,38.73603
-27.06324,38.69109
-25.81253,37.82894
-28.26649,38.45896
-27.06328,38.73615
-28.32461,38.50338
-31.18507,39.38172
-25.41686,37.73416
-28.61223,38.54483
-27.35115,38.7807
-28.2092,38.45957
-27.98804,39.04739
-28.04581,39.04688
-27.29321,38.69074
-27.35092,38.73564
-28.20844,38.41452
-28.3828,38.54776
-25.35815,37.82348
-25.24564,37.77679
-25.18889,37.77594
-25.30136,37.82267
-25.47173,37.82501
-25.24457,37.82184
-25.30239,37.77763
-25.35915,37.77843
-25.47266,37.77996
-25.64212,37.82709
6.092829,49.520895
1.010129,41.340074
1.465433,42.168867
5.870324,49.818676
6.126181,50.098292
1.43625,42.20305
6.49857,49.72435
6.421032,49.664856
6.159801,49.594376
6.262536,49.505865
6.26254,49.507573
6.135444,49.614961
6.295254,49.556992
6.215511,49.702616
6.145854,49.859332
6.048902,49.923826
6.127338,49.713139
6.192258,49.771043
5.922938,49.773306
6.198755,49.728695
6.079291,49.906951
6.053779,49.922572
6.209452,49.749281
6.129283,49.708195
6.192952,49.770684
5.755047,49.844756
6.067364,49.885364
6.030149,50.054705
6.202511,49.935209
6.106241,49.841337
5.933725,49.608256
6.091945,49.826404
5.975479,49.545216
6.082571,49.543186
6.408462,49.811793
6.370012,49.587095
6.30781,49.790201
5.894881,49.726312
6.105131,49.730571
5.896897,49.688016
6.357164,49.48354
2.157728,41.645597
-31.23325,39.45878
-27.10067,38.72937
-27.1007,38.7519
-27.11218,38.73387
-27.10643,38.73838
-28.61626,38.59659
-27.10068,38.73838
-27.35961,38.74688
-27.09492,38.73388
-27.36534,38.74236
-27.34815,38.75593
-27.11795,38.74287
-27.1122,38.74738
-27.34808,38.74241
-27.3539,38.75591
-28.6221,38.60102
-27.10067,38.73388
-27.36541,38.75588
-27.35386,38.7469
-27.16388,38.70226
-27.18111,38.69323
-27.36539,38.75137
-27.16964,38.70676
-27.35963,38.75139
-27.35388,38.75141
-27.15241,38.7158
-27.12939,38.70681
-27.16387,38.69776
-27.13513,38.7023
-27.13516,38.71582
-27.37687,38.74683
-27.1409,38.7113
-27.1696,38.68874
-27.16962,38.69775
-27.15811,38.69326
-27.18113,38.70224
-27.14089,38.7068
-27.13515,38.71131
-27.15238,38.70228
-27.15237,38.69777
-27.13514,38.70681
-25.65751,37.76193
-25.62922,37.7571
-28.37227,38.44651
-28.38373,38.44638
-28.32113,38.46963
-28.37903,38.5005
-28.32129,38.47864
-28.45273,38.45906
-28.34978,38.4693
-28.31556,38.4787
-28.32694,38.47407
-28.44709,38.46363
-28.43017,38.47736
-25.64056,37.75723
-28.32145,38.48765
-25.68045,37.74867
-28.34413,38.47387
-28.35525,38.45572
-28.36748,38.49613
-28.36098,38.45565
-25.65216,37.74385
-28.43026,38.48186
-28.36191,38.50521
-28.378,38.44644
-25.63497,37.75266
-28.32154,38.49215
-28.42964,38.45033
-28.453,38.47257
-28.41333,38.49559
-25.68588,37.76225
-25.66886,37.76206
-28.36663,38.45108
-28.44754,38.48616
-25.68596,37.75775
-28.36688,38.4646
-28.39066,38.50938
-28.31638,38.52375
-25.64616,37.7618
-28.39509,38.44174
-28.33292,38.48752
-28.38459,38.49142
-28.447,38.45913
-28.44763,38.49066
-28.32121,38.47413
-28.44208,38.49974
-28.34952,38.45579
-28.37235,38.45102
-28.36183,38.5007
-28.41342,38.50009
-25.65208,37.74835
-25.64632,37.75279
-28.40196,38.50023
-28.38954,38.45081
-28.34371,38.45135
-28.38937,38.4418
-25.66343,37.74848
-25.65759,37.75743
-28.41228,38.44153
-28.36654,38.44658
-28.34961,38.46029
-28.3964,38.50931
-28.33848,38.47844
-28.42955,38.44583
-28.34969,38.4648
-28.44154,38.47271
-28.36174,38.4962
-28.37911,38.50501
-28.43626,38.49531
-25.63506,37.74816
-28.45864,38.468
-28.37244,38.45552
-28.45309,38.47708
-28.37877,38.48699
-25.62913,37.76161
-28.45337,38.49059
-25.66934,37.73503
-28.31572,38.48771
-28.44772,38.49517
-25.66918,37.74404
-28.38467,38.49593
-28.33882,38.49646
-25.67477,37.74861
-25.65183,37.76187
-25.68029,37.75768
-28.41818,38.45047
-28.43546,38.45477
-28.44691,38.45462
-28.43581,38.47278
-28.34936,38.44678
-28.3609,38.45115
-28.30983,38.47877
-28.37295,38.48255
-28.36107,38.46016
-28.40091,38.44617
-28.33267,38.474
-28.36671,38.45559
-28.36739,38.49163
-28.44745,38.48165
-28.40169,38.48671
-28.45328,38.48609
-28.32162,38.49666
-28.44181,38.48623
-28.3904,38.49586
-28.41316,38.48658
-28.36124,38.46917
-28.43635,38.49981
-28.35517,38.45122
-28.38485,38.50494
-28.38364,38.44187
-28.32735,38.49659
-25.68053,37.74417
-28.43528,38.44576
-28.41924,38.50453
-28.424,38.45491
-25.69195,37.73979
-28.35551,38.46924
-28.37253,38.46003
-28.39596,38.48678
-28.32719,38.48758
-25.6464,37.74829
-28.40187,38.49572
-28.42973,38.45484
-28.36697,38.4691
-25.68069,37.73516
-28.35576,38.48275
-28.44145,38.46821
-28.36731,38.48712
-28.36141,38.47818
-28.42462,38.48644
-28.37304,38.48705
-28.36705,38.47361
-28.41325,38.49108
-25.80354,37.85814
-28.70203,38.58186
-28.71956,38.59512
-25.79225,37.85352
-28.71946,38.59061
-25.79217,37.85802
-25.80325,37.87616
-28.71935,38.58611
-25.7752,37.85334
-25.78088,37.8534
-25.76937,37.86229
-28.70213,38.58636
-25.79195,37.87154
-28.7253,38.59503
-25.79203,37.86703
-25.79771,37.86709
-28.70809,38.59529
-25.79188,37.87605
-28.71372,38.5907
-25.80929,37.85369
-25.64295,37.78204
-28.49752,38.54635
-31.0877,39.7004
-28.78539,38.58737
-27.23602,38.78099
-31.24296,39.37962
-31.24569,39.42455
-25.75648,37.78329
-28.38108,38.45767
-27.17823,38.69097
-28.2657,38.41391
-25.69893,37.82774
-27.12089,38.78116
-28.38194,38.50272
-25.09488,37.00839
-25.69972,37.78268
-25.096,36.96334
-28.32378,38.45833
-25.47359,37.73491
-27.3507,38.69058
-25.03987,36.96243
-25.75497,37.8734
-28.15118,38.41509
-25.58618,37.78137
-25.41494,37.82426
-27.17845,38.78109
-27.12081,38.73611
-28.49658,38.50131
-25.4159,37.77921
-25.75573,37.82835
-25.52942,37.78068
-27.80909,38.55313
-31.24843,39.46948
-25.36014,37.73338
-27.92442,38.59734
-27.98183,38.59687
-28.66958,38.54402
