"lon","lat"
3.74679,51.18054
4.74168,51.08778
5.86889,50.46753
5.57735,50.35027
5.86156,50.49539
5.55242,50.39392
5.50462,50.33271
5.87428,50.49656
5.57894,50.39532
5.60255,50.50433
5.47896,50.37542
5.83405,50.48875
5.4965,50.3744
5.48279,50.45363
5.5259,50.47838
5.61161,50.50383
5.83159,50.52036
5.52465,50.49467
16.52857,56.33874
3.4427,50.82056
5.84486,50.58343
4.58333,50.85044
5.60255,50.40422
5.39353,50.30782
14.58797,56.99247
17.9602,59.11357
12.01572,57.43398
17.57098,59.84639
15.14169,59.26428
11.85134,57.80343
4.20501,50.90461
3.92672,50.90434
4.32001,51.33771
3.22966,51.19416
4.58384,50.8501
4.06554,50.88091
2.95199,51.2333
5.67615,50.37691
5.60521,50.40928
5.71895,50.72723
5.67469,50.69846
5.58148,50.47499
5.59873,50.54686
5.63085,50.6784
3.11078,51.06503
4.83558,50.78591
18.06927,60.47713
4.89246,51.28784
2.94966,51.22071
4.9564,50.34834
5.63,50.18553
5.66392,50.1816
5.63077,50.17456
5.72297,50.46301
5.90357,50.33972
3.74227,51.05453
4.23959,50.82978
4.28789,50.83509
4.44792,51.38835
4.96957,51.17982
4.23253,50.71172
3.28708,50.84031
3.82205,51.04563
3.11035,51.06489
4.98496,51.00226
4.94031,50.79229
4.47607,51.21498
3.18655,51.12561
5.21284,51.07535
9.081626,58.755963
5.95572,50.3935
5.85621,50.54442
5.44403,50.25461
5.96747,50.30801
5.9505,50.39336
5.68655,50.78478
5.52351,50.65329
5.85014,50.6251
5.66962,50.71679
4.0045,50.50375
5.53433,50.65856
5.8019,50.6342
3.69065,50.48182
4.32566,50.89187
4.53905,50.9296
3.15492,50.95084
4.66427,51.15411
11.63247,58.38133
16.66798,59.54143
12.56915,57.96686
15.11035,57.41392
17.19075,60.64664
16.90672,58.73847
15.643,58.38126
17.90578,59.36975
13.24368,56.60003
13.57715,57.82846
17.70649,59.61982
18.05956,59.51622
17.51573,58.94172
14.14968,55.6212
15.29496,57.31381
13.83253,58.19314
14.16442,57.70715
17.12136,60.68072
12.73507,56.06695
12.40676,58.47478
14.22914,55.5841
17.31896,59.73371
14.07634,57.43056
11.69447,58.47288
16.27534,59.94632
18.01543,59.23417
15.08411,59.12616
18.16655,59.54739
11.96657,57.85245
11.94996,57.81072
15.68277,58.13287
13.26057,57.47636
14.63544,58.29708
17.61719,59.8346
17.25787,59.33364
16.60344,56.65215
16.70969,56.77639
15.3715,59.47452
14.65159,58.29638
17.0568,58.74282
4.4464,50.85094
3.66205,51.07599
4.83561,51.18657
5.27069,50.71442
5.88524,50.49428
5.18303,50.36646
4.71697,50.6861
5.34285,50.08353
5.27376,50.42365
4.66473,50.74185
4.16915,50.45363
4.53158,50.40601
2.96729,50.82398
3.18752,51.32355
5.40864,51.03131
3.13833,50.92724
4.24842,50.86578
5.47393,50.96231
4.45603,50.76822
17.83602,59.4425
16.29269,58.60544
17.36172,62.4115
11.92348,57.74376
16.57199,56.79394
17.17755,59.19189
17.32278,62.40154
12.04698,57.64663
18.21039,59.16777
18.07838,59.21873
16.34249,56.69859
18.13828,59.30282
12.54818,58.84185
16.23503,59.71995
16.46483,59.39571
15.56454,60.07301
17.65952,59.89078
15.7352,60.34797
12.79863,57.71837
15.06746,57.41422
14.01962,59.66108
17.97947,59.22172
15.08535,58.80682
16.292,58.95742
18.18036,59.25521
14.65781,61.09205
4.63497,51.23805
4.22882,50.85432
5.03074,50.71018
14.79563,56.8448
17.58432,58.95245
19.04834,59.83478
12.88469,57.54976
18.80811,59.86299
16.50922,58.10311
17.84331,59.39639
13.04981,55.57864
16.58493,59.6731
17.64174,59.80569
14.73176,56.00918
16.57932,59.68922
12.97779,56.68943
12.57347,57.92211
15.45082,58.77279
17.83588,59.63344
17.92511,59.34812
15.49706,59.33253
13.61881,59.3963
15.53039,56.28854
15.19934,59.59115
15.03901,58.1994
17.47479,58.94864
11.033485,59.990482
10.39102,59.276258
