"lon","lat"
4.31268,51.25022
5.53411,50.42859
4.31118,51.30504
3.74053,51.05478
3.99243,50.41523
4.36804,51.20081
5.68672,50.79413
3.74059,51.05468
5.13255,50.10929
5.32681,49.61911
5.444,50.593
5.0967,50.49713
5.28128,50.85908
5.17119,50.55259
18.33222,57.671
4.03125,50.41792
4.03113,50.41752
4.0294,50.41801
7.47149,46.97357
5.69169,50.78814
8.60011,47.50742
5.44198,50.28539
5.70122,50.7444
5.83094,50.57919
4.30729,51.25911
4.39985,51.26304
4.31208,51.2595
4.30759,51.25955
4.40264,51.26158
4.38991,51.26449
5.68856,50.79541
5.23705,50.52827
5.69298,50.78823
4.38715,51.27934
4.38689,51.27942
4.25242,51.36606
3.25391,51.34236
5.02105,50.48666
5.44228,50.59125
5.44219,50.59117
8.66855,47.59667
5.04716,50.49788
5.26347,50.15571
5.09399,50.49435
5.14845,50.51049
5.44214,50.59116
18.33294,57.67203
5.68952,50.79918
8.6644,47.41681
4.77897,50.75349
4.82958,50.45693
5.32323,50.53939
5.14414,50.50873
5.31872,50.53696
5.21297,50.52873
5.31318,50.54289
5.68766,50.79542
5.69156,50.78914
5.26664,50.15877
2.83208,51.19481
18.33199,57.67172
18.33243,57.67103
4.2267,51.3268
5.10426,50.49467
5.68792,50.79561
5.68994,50.79934
4.3872,51.27844
5.68894,50.75031
5.70084,50.74454
2.79762,51.17918
5.689,50.7994
8.59815,47.41749
2.95472,51.20608
3.10434,51.29987
7.6047,47.5581
7.60484,47.60306
8.6696,47.64163
5.69083,50.80574
5.44009,50.28406
8.59913,47.46246
3.2329,51.3438
18.33276,57.67084
6.262536,49.505865
6.379031,49.753411
5.851051,49.555732
13.5833,43
13.581773,42.856292
10.99216,45.44285
20.75,38.95
13.75,42.25
